words,pos
Việt_Nam đang có 102 ca đang điều_trị Covid-19,Np R V M N R V N
hiện_nay nhiều quốc_gia trên thế_giới đã ghi_nhận nhiều trường_hợp nhiễm biến_thể virus_corona chủng_mới ở Anh,N A N E N R V A N V N Np R E Np
không vì ngại cách_ly mà gây họa cho cộng_đồng,R E V V C V V E N
phó_thủ_tướng cũng yêu_cầu các bộ ngành,N R V D N N
phục_vụ trực_tiếp cho hoạt_động phòng_chống dịch,V A E V V N
ngay sau khi ghi_nhận ca bệnh từ Myanmar về,R E N V N N E Np E
chúng_ta đã nhanh_chóng huy_động các lực_lượng vào cuộc,P R A V D N V N
đồng_bộ như vậy thì mới có_thể giữ được an_toàn,A C P C R R V R A
thần_tốc truy vết người tiếp_xúc với bệnh_nhân 1440,N V N N V E N M
các bộ ngành địa_phương cần nêu cao tinh_thần trách_nhiệm trong phòng chống dịch Covid-19,D N N N V V A N N E N V N Np
nguy_cơ lây_nhiễm Covid-19 vào Việt_Nam là hiện_hữu,N V Np E Np V V
thực_hiện nghiêm các chỉ_đạo của Thủ_tướng Chính_phủ,V A D N E N N
tăng_cường kiểm_tra xử_lý nghiêm các trường_hợp vi_phạm,V V V A D N V
giới_chức Y_tế làm rõ ca tử_vong sau tiêm vaccine COVID-19 ở Thụy_Sĩ,N N V A N V N V N Np E Np
ca nhiễm biến_chủng nCoV không có khả_năng lây_nhiễm cộng_đồng,N V N Np R V N V N
Thái_Lan áp_dụng hạn_chế mới để chặn làn_sóng lây_nhiễm,Np V V R E V N V
bộ y_tế công_bố thêm 2 ca mắc mới được cách_ly ngay sau khi nhập_cảnh,N N V R M N V R V V R N N V
đến nay Việt_Nam đã điều_trị khỏi 1323 ca bệnh_nhân Covid-19,E P Np R V V V N N Np
Việt_Nam được cộng_đồng quốc_tế đánh_giá là quốc_gia thành_công nhất trong phòng_chống dịch Covid-19,Np V N A V C N V A E V N Np
bộ Y_tế lần đầu_tiên huy_động lực_lượng cán_bộ y_tế gần 300 người vào mặt_trận Đà_Nẵng kiểm_soát dịch trong 1 tháng,N N N A V N N N A M N E N Np V N E M N
luôn đeo khẩu_trang khi đi ra ngoài và giữ khoảng_cách ít_nhất 2m với người khác,R V N N V V N C V N X M E N A
thường_xuyên rửa tay đúng cách bằng xà_phòng dưới vòi_nước_sạch hoặc bằng dung_dịch sát_khuẩn có cồn,A V N A N E N E N C E N N V N
tránh đưa tay lên mắt mũi miệng che miệng và mũi khi ho hoặc hắt_hơi bằng khăn_giấy khăn_vải hoặc khuỷu_tay_áo,V V N V N N N V N C N N V C V E N N C N
tăng_cường vận_động rèn_luyện thể_lực dinh_dưỡng hợp_lý xây_dựng lối sống lành_mạnh,V V V N N A V N V A
"tự cách_ly, theo_dõi sức_khỏe, khai_báo y_tế đầy_đủ nếu trở về từ vùng_dịch",P V V N V N A C V E N N
bang California phát_hiện biến_thể của virus_corona chủng mới,N Np V N E Np N R
chính_phủ Mỹ từ đầu tuần này đã siết_chặt việc đi_lại từ Anh,N Np E N N P R V N V E Np
kiểm_soát chặt khách đi_lại dịp Tết để phòng_dịch Covid-19,V A N V N Np E V Np
biến_thể mới của virus SARS_CoV_2 tại Anh không gây bệnh nặng hơn,N A E N Np E Np R V N A A
biến_thể mới của virus SARS_CoV_2 đang lây_lan mạnh hơn,N A E N Np R V A A
thêm 9 ca Covid-19 mới tròn 1 tháng chưa ghi_nhận ca mắc trong cộng_đồng,V M N Np A A M N R V N V E N
WHO phê_duyệt sử_dụng khẩn_cấp vắc_xin ngừa Covid-19 đầu_tiên,Np V V N V N Np A
Nghệ_An Hà_Tĩnh siết chặt kiểm_dịch Covid-19 ở biên_giới,Np Np V A N Np E N
Trung_Quốc phát_hiện ca mắc biến_chủng Covid-19 đầu_tiên,Np V N V N Np A
cần nêu cao cảnh_giác với Covid-19 để đón Tết an_vui,V V A V E Np E V N A
Việt_Nam đang thực_hiện tốt công_tác phòng_chống dịch,Np R V A N V N
Bộ Y_tế đề_nghị dừng tổ_chức và hạn_chế chuyến bay từ quốc_gia có biến_thể virus_corona,N N V V V C V N V E N V N N
thủ_tướng yêu_cầu làm rõ trách_nhiệm việc để lây_nhiễm Covid-19 ra cộng_đồng,N V V A N N E V Np V N
phát_hiện biến_thể mới của SARS-CoV-2 tại Việt_Nam,V N A E Np E Np
chấp_hành nghiêm các quy_định về phòng_chống dịch_bệnh vệ_sinh dịch_tễ,V A D N E V N V N
